19	BC7935A	{"epochs": {"value": 1.0, "comment": 5, "comment_other": "To see how long one epoch takes"}, "batchSize": {"value": 5.0, "comment": 1, "comment_other": ""}, "lossFunction": {"value": "cross_entropy", "comment": 3, "comment_other": ""}, "optimizer": {"value": "adam_optimizer", "comment": 3, "comment_other": ""}, "finalSubmission": {"value": false}, "learningRate": {"value": 0.01, "comment": 1, "comment_other": ""}, "epsilon": {"value": 1e-06, "comment": "", "comment_other": ""}, "beta1": {"value": 0.9, "comment_other": "", "comment": ""}, "beta2": {"value": 0.999, "comment_other": "", "comment": ""}, "weightDecay": {"value": 0, "comment": "", "comment_other": ""}, "rho": {"value": 0.9, "comment": "", "comment_other": ""}, "learningRateDecay": {"value": 0, "comment": "", "comment_other": ""}, "initialAccumulator": {"value": 0, "comment": "", "comment_other": ""}, "alpha": {"value": 0.75, "comment": "", "comment_other": ""}, "lambda": {"value": 0.0001, "comment": "", "comment_other": ""}, "momentum": {"value": 0, "comment": "", "comment_other": ""}, "user_id": "BC7935A"}	-3	-1
20	BC7935A	{"epochs": {"value": 1.0, "comment": 5, "comment_other": "To see how long one epoch takes"}, "batchSize": {"value": 5.0, "comment": 1, "comment_other": ""}, "lossFunction": {"value": "cross_entropy", "comment": 3, "comment_other": ""}, "optimizer": {"value": "adam_optimizer", "comment": 3, "comment_other": ""}, "finalSubmission": {"value": false}, "learningRate": {"value": 0.0001, "comment": 4, "comment_other": ""}, "epsilon": {"value": 1e-06, "comment": "", "comment_other": ""}, "beta1": {"value": 0.9, "comment_other": "", "comment": ""}, "beta2": {"value": 0.999, "comment_other": "", "comment": ""}, "weightDecay": {"value": 0, "comment": "", "comment_other": ""}, "rho": {"value": 0.9, "comment": "", "comment_other": ""}, "learningRateDecay": {"value": 0, "comment": "", "comment_other": ""}, "initialAccumulator": {"value": 0, "comment": "", "comment_other": ""}, "alpha": {"value": 0.75, "comment": "", "comment_other": ""}, "lambda": {"value": 0.0001, "comment": "", "comment_other": ""}, "momentum": {"value": 0, "comment": "", "comment_other": ""}, "user_id": "BC7935A"}	0.35	66.1596
21	BC7935A	{"epochs": {"value": 1.0, "comment": 5, "comment_other": "To see how long one epoch takes"}, "batchSize": {"value": 5.0, "comment": 1, "comment_other": ""}, "lossFunction": {"value": "cross_entropy", "comment": 3, "comment_other": ""}, "optimizer": {"value": "adam_optimizer", "comment": 3, "comment_other": ""}, "finalSubmission": {"value": false}, "learningRate": {"value": 0.001, "comment": 4, "comment_other": ""}, "epsilon": {"value": 1e-06, "comment": "", "comment_other": ""}, "beta1": {"value": 0.9, "comment_other": "", "comment": ""}, "beta2": {"value": 0.999, "comment_other": "", "comment": ""}, "weightDecay": {"value": 0, "comment": "", "comment_other": ""}, "rho": {"value": 0.9, "comment": "", "comment_other": ""}, "learningRateDecay": {"value": 0, "comment": "", "comment_other": ""}, "initialAccumulator": {"value": 0, "comment": "", "comment_other": ""}, "alpha": {"value": 0.75, "comment": "", "comment_other": ""}, "lambda": {"value": 0.0001, "comment": "", "comment_other": ""}, "momentum": {"value": 0, "comment": "", "comment_other": ""}, "user_id": "BC7935A"}	0.1	66.3693
22	BC7935A	{"epochs": {"value": 10.0, "comment": 5, "comment_other": "To see how long one epoch takes"}, "batchSize": {"value": 5.0, "comment": 1, "comment_other": ""}, "lossFunction": {"value": "cross_entropy", "comment": 3, "comment_other": ""}, "optimizer": {"value": "adam_optimizer", "comment": 3, "comment_other": ""}, "finalSubmission": {"value": false}, "learningRate": {"value": 0.0001, "comment": 4, "comment_other": ""}, "epsilon": {"value": 1e-06, "comment": "", "comment_other": ""}, "beta1": {"value": 0.9, "comment_other": "", "comment": ""}, "beta2": {"value": 0.999, "comment_other": "", "comment": ""}, "weightDecay": {"value": 0, "comment": "", "comment_other": ""}, "rho": {"value": 0.9, "comment": "", "comment_other": ""}, "learningRateDecay": {"value": 0, "comment": "", "comment_other": ""}, "initialAccumulator": {"value": 0, "comment": "", "comment_other": ""}, "alpha": {"value": 0.75, "comment": "", "comment_other": ""}, "lambda": {"value": 0.0001, "comment": "", "comment_other": ""}, "momentum": {"value": 0, "comment": "", "comment_other": ""}, "user_id": "BC7935A"}	0.682	622.391
23	BC7935A	{"epochs": {"value": 10.0, "comment": 5, "comment_other": "To see how long one epoch takes"}, "batchSize": {"value": 5.0, "comment": 1, "comment_other": ""}, "lossFunction": {"value": "l1_loss", "comment": 1, "comment_other": ""}, "optimizer": {"value": "adam_optimizer", "comment": 3, "comment_other": ""}, "finalSubmission": {"value": false}, "learningRate": {"value": 0.0001, "comment": 4, "comment_other": ""}, "epsilon": {"value": 1e-06, "comment": "", "comment_other": ""}, "beta1": {"value": 0.9, "comment_other": "", "comment": ""}, "beta2": {"value": 0.999, "comment_other": "", "comment": ""}, "weightDecay": {"value": 0, "comment": "", "comment_other": ""}, "rho": {"value": 0.9, "comment": "", "comment_other": ""}, "learningRateDecay": {"value": 0, "comment": "", "comment_other": ""}, "initialAccumulator": {"value": 0, "comment": "", "comment_other": ""}, "alpha": {"value": 0.75, "comment": "", "comment_other": ""}, "lambda": {"value": 0.0001, "comment": "", "comment_other": ""}, "momentum": {"value": 0, "comment": "", "comment_other": ""}, "user_id": "BC7935A"}	-3	-1
24	BC7935A	{"epochs": {"value": 20.0, "comment": 4, "comment_other": ""}, "batchSize": {"value": 10.0, "comment": 4, "comment_other": ""}, "lossFunction": {"value": "cross_entropy", "comment": 3, "comment_other": ""}, "optimizer": {"value": "adam_optimizer", "comment": 3, "comment_other": ""}, "finalSubmission": {"value": false}, "learningRate": {"value": 0.0001, "comment": 4, "comment_other": ""}, "epsilon": {"value": 1e-06, "comment": "", "comment_other": ""}, "beta1": {"value": 0.9, "comment_other": "", "comment": ""}, "beta2": {"value": 0.999, "comment_other": "", "comment": ""}, "weightDecay": {"value": 0, "comment": "", "comment_other": ""}, "rho": {"value": 0.9, "comment": "", "comment_other": ""}, "learningRateDecay": {"value": 0, "comment": "", "comment_other": ""}, "initialAccumulator": {"value": 0, "comment": "", "comment_other": ""}, "alpha": {"value": 0.75, "comment": "", "comment_other": ""}, "lambda": {"value": 0.0001, "comment": "", "comment_other": ""}, "momentum": {"value": 0, "comment": "", "comment_other": ""}, "user_id": "BC7935A"}	0.752	635.706
25	BC7935A	{"epochs": {"value": 30.0, "comment": 4, "comment_other": "To see how long one epoch takes"}, "batchSize": {"value": 20.0, "comment": 4, "comment_other": ""}, "lossFunction": {"value": "cross_entropy", "comment": 3, "comment_other": ""}, "optimizer": {"value": "adam_optimizer", "comment": 3, "comment_other": ""}, "finalSubmission": {"value": false}, "learningRate": {"value": 0.0001, "comment": 4, "comment_other": ""}, "epsilon": {"value": 1e-06, "comment": "", "comment_other": ""}, "beta1": {"value": 0.9, "comment_other": "", "comment": ""}, "beta2": {"value": 0.999, "comment_other": "", "comment": ""}, "weightDecay": {"value": 0.95, "comment": "", "comment_other": ""}, "rho": {"value": 0.9, "comment": "", "comment_other": ""}, "learningRateDecay": {"value": 0, "comment": "", "comment_other": ""}, "initialAccumulator": {"value": 0, "comment": "", "comment_other": ""}, "alpha": {"value": 0.75, "comment": "", "comment_other": ""}, "lambda": {"value": 0.0001, "comment": "", "comment_other": ""}, "momentum": {"value": 0, "comment": "", "comment_other": ""}, "user_id": "BC7935A"}	0.1	517.833
26	BC7935A	{"epochs": {"value": 20.0, "comment": 4, "comment_other": "To see how long one epoch takes"}, "batchSize": {"value": 20.0, "comment": 4, "comment_other": ""}, "lossFunction": {"value": "cross_entropy", "comment": 3, "comment_other": ""}, "optimizer": {"value": "adam_optimizer", "comment": 3, "comment_other": ""}, "finalSubmission": {"value": false}, "learningRate": {"value": 0.0001, "comment": 4, "comment_other": ""}, "epsilon": {"value": 1e-06, "comment": "", "comment_other": ""}, "beta1": {"value": 0.9, "comment_other": "", "comment": ""}, "beta2": {"value": 0.999, "comment_other": "", "comment": ""}, "weightDecay": {"value": 0.05, "comment": 4, "comment_other": ""}, "rho": {"value": 0.9, "comment": "", "comment_other": ""}, "learningRateDecay": {"value": 0, "comment": "", "comment_other": ""}, "initialAccumulator": {"value": 0, "comment": "", "comment_other": ""}, "alpha": {"value": 0.75, "comment": "", "comment_other": ""}, "lambda": {"value": 0.0001, "comment": "", "comment_other": ""}, "momentum": {"value": 0, "comment": "", "comment_other": ""}, "user_id": "BC7935A"}	0.258	347.566
27	BC7935A	{"epochs": {"value": 20.0, "comment": 4, "comment_other": "To see how long one epoch takes"}, "batchSize": {"value": 10.0, "comment": 4, "comment_other": ""}, "lossFunction": {"value": "cross_entropy", "comment": 3, "comment_other": ""}, "optimizer": {"value": "adam_optimizer", "comment": 3, "comment_other": ""}, "finalSubmission": {"value": false}, "learningRate": {"value": 0.0001, "comment": 4, "comment_other": ""}, "epsilon": {"value": 1e-06, "comment": "", "comment_other": ""}, "beta1": {"value": 0.9, "comment_other": "", "comment": ""}, "beta2": {"value": 0.999, "comment_other": "", "comment": ""}, "weightDecay": {"value": 0.005, "comment": 4, "comment_other": ""}, "rho": {"value": 0.9, "comment": "", "comment_other": ""}, "learningRateDecay": {"value": 0, "comment": "", "comment_other": ""}, "initialAccumulator": {"value": 0, "comment": "", "comment_other": ""}, "alpha": {"value": 0.75, "comment": "", "comment_other": ""}, "lambda": {"value": 0.0001, "comment": "", "comment_other": ""}, "momentum": {"value": 0, "comment": "", "comment_other": ""}, "user_id": "BC7935A"}	0.628	654.835
28	BC7935A	{"epochs": {"value": 20.0, "comment": 4, "comment_other": "To see how long one epoch takes"}, "batchSize": {"value": 10.0, "comment": 4, "comment_other": ""}, "lossFunction": {"value": "cross_entropy", "comment": 3, "comment_other": ""}, "optimizer": {"value": "adam_optimizer", "comment": 3, "comment_other": ""}, "finalSubmission": {"value": false}, "learningRate": {"value": 0.0001, "comment": 4, "comment_other": ""}, "epsilon": {"value": 1e-06, "comment": "", "comment_other": ""}, "beta1": {"value": 0.9, "comment_other": "", "comment": ""}, "beta2": {"value": 0.999, "comment_other": "", "comment": ""}, "weightDecay": {"value": 0, "comment": 4, "comment_other": ""}, "rho": {"value": 0.9, "comment": "", "comment_other": ""}, "learningRateDecay": {"value": 0, "comment": "", "comment_other": ""}, "initialAccumulator": {"value": 0, "comment": "", "comment_other": ""}, "alpha": {"value": 0.75, "comment": "", "comment_other": ""}, "lambda": {"value": 0.0001, "comment": "", "comment_other": ""}, "momentum": {"value": 0, "comment": "", "comment_other": ""}, "user_id": "BC7935A"}	0.718	640.527
